seed,method,cohort,call,phase,candidate_id,feasible,qor,best_feasible_qor,cum_failed_eda_runtime_s,cum_total_eda_runtime_s,cum_optimizer_overhead_s,fallback_used,p_feas,ei,calibration_detail
131,ei_only_ablation,extension,19,adaptive,cb36_028,False,,-0.09306823743826212,11390.504520485993,14358.354020391991,0.23746805397968274,False,1.0,0.01675616295509426,"ei-only: no feasibility classifier, p_feas=1.0"
131,ei_only_ablation,extension,20,adaptive,cb36_035,False,,-0.09306823743826212,11891.489844589,14859.339344494998,0.25496560797910206,False,1.0,0.016694031809263488,"ei-only: no feasibility classifier, p_feas=1.0"
131,ei_only_ablation,extension,21,adaptive,cb36_010,True,-0.09306823743826212,-0.09306823743826212,11891.489844589,15471.214079857004,0.2706972659798339,False,1.0,0.0065817762147731464,"ei-only: no feasibility classifier, p_feas=1.0"
131,ei_only_ablation,extension,22,adaptive,cb36_016,False,,-0.09306823743826212,12648.379963526007,16228.104198794012,0.2864602449844824,False,1.0,0.0015775364462873196,"ei-only: no feasibility classifier, p_feas=1.0"
131,ei_only_ablation,extension,23,adaptive,cb36_020,False,,-0.09306823743826212,13405.239533572007,16984.96376884001,0.29979736197856255,False,1.0,0.0015770991493106006,"ei-only: no feasibility classifier, p_feas=1.0"
131,ei_only_ablation,extension,24,adaptive,cb36_023,False,,-0.09306823743826212,13945.002789093007,17524.72702436101,0.3272645629767794,False,1.0,0.0015770991493106006,"ei-only: no feasibility classifier, p_feas=1.0"
137,vanilla_bo_penalty,extension,1,shared_init,cb36_022,False,,,1345.1955549820123,1345.1955549820123,0.0,False,,,
137,vanilla_bo_penalty,extension,2,shared_init,cb36_006,True,-0.09306823743826212,-0.09306823743826212,1345.1955549820123,1949.370451093011,0.0,False,,,
137,vanilla_bo_penalty,extension,3,shared_init,cb36_025,False,,-0.09306823743826212,1864.2406480120117,2468.4155441230105,0.0,False,,,
137,vanilla_bo_penalty,extension,4,shared_init,cb36_014,False,,-0.09306823743826212,3202.382290629008,3806.5571867400067,0.0,False,,,
137,vanilla_bo_penalty,extension,5,shared_init,cb36_033,False,,-0.09306823743826212,3717.5311922480105,4321.706088359009,0.0,False,,,
137,vanilla_bo_penalty,extension,6,shared_init,cb36_007,False,,-0.09306823743826212,4440.459047621014,5044.633943732013,0.0,False,,,
137,vanilla_bo_penalty,extension,7,shared_init,cb36_008,False,,-0.09306823743826212,5090.363968717014,5694.538864828013,0.0,False,,,
137,vanilla_bo_penalty,extension,8,shared_init,cb36_027,False,,-0.09306823743826212,5597.119207861011,6201.29410397201,0.0,False,,,
137,vanilla_bo_penalty,extension,9,adaptive,cb36_002,True,-0.09306823743826212,-0.09306823743826212,5597.119207861011,6809.09479422601,0.019604453002102673,False,1.0,0.00045703757768798163,vanilla-bo: no feasibility model
137,vanilla_bo_penalty,extension,10,adaptive,cb36_010,True,-0.09306823743826212,-0.09306823743826212,5597.119207861011,7420.969529588016,0.04753389800316654,False,1.0,0.005858066108283117,vanilla-bo: no feasibility model
137,vanilla_bo_penalty,extension,11,adaptive,cb36_000,False,,-0.09306823743826212,6243.930258204011,8067.780579931015,0.056297215007361956,False,1.0,0.013241081741807388,vanilla-bo: no feasibility model
137,vanilla_bo_penalty,extension,12,adaptive,cb36_028,False,,-0.09306823743826212,7003.225132412015,8827.07545413902,0.1004239230096573,False,1.0,0.009253482841870407,vanilla-bo: no feasibility model
137,vanilla_bo_penalty,extension,13,adaptive,cb36_009,True,0.3112996180098017,-0.09306823743826212,7003.225132412015,9615.705437121018,0.14639644700218923,False,1.0,0.0066812798924874885,vanilla-bo: no feasibility model
137,vanilla_bo_penalty,extension,14,adaptive,cb36_005,True,0.3112996180098017,-0.09306823743826212,7003.225132412015,10398.741548627018,0.18332053199992515,False,1.0,0.010518322064282958,vanilla-bo: no feasibility model
137,vanilla_bo_penalty,extension,15,adaptive,cb36_001,True,0.3112996180098017,-0.09306823743826212,7003.225132412015,11187.124263791018,0.20049492399266455,False,1.0,0.010549400292151685,vanilla-bo: no feasibility model
137,vanilla_bo_penalty,extension,16,adaptive,cb36_017,False,,-0.09306823743826212,7634.3303783170195,11818.229509696022,0.2100492879981175,False,1.0,0.01022894803372948,vanilla-bo: no feasibility model
137,vanilla_bo_penalty,extension,17,adaptive,cb36_035,False,,-0.09306823743826212,8135.315702420026,12319.21483379903,0.222113714000443,False,1.0,0.00744763910636323,vanilla-bo: no feasibility model
137,vanilla_bo_penalty,extension,18,adaptive,cb36_030,False,,-0.09306823743826212,8716.41338809202,12900.312519471023,0.23202520099584945,False,1.0,0.004345570246516148,vanilla-bo: no feasibility model
137,vanilla_bo_penalty,extension,19,adaptive,cb36_003,False,,-0.09306823743826212,9418.572858380016,13602.471989759018,0.24398850700526964,False,1.0,0.0026947692138525586,vanilla-bo: no feasibility model
137,vanilla_bo_penalty,extension,20,adaptive,cb36_011,False,,-0.09306823743826212,10116.24514032901,14300.144271708014,0.25413051700161304,False,1.0,0.0023842931095315913,vanilla-bo: no feasibility model
137,vanilla_bo_penalty,extension,21,adaptive,cb36_024,False,,-0.09306823743826212,10875.900897763007,15059.80002914201,0.26535937598964665,False,1.0,0.001190488420277436,vanilla-bo: no feasibility model
137,vanilla_bo_penalty,extension,22,adaptive,cb36_032,False,,-0.09306823743826212,11631.868513339003,15815.767644718006,0.2737214089866029,False,1.0,0.0008934861443022852,vanilla-bo: no feasibility model
137,vanilla_bo_penalty,extension,23,adaptive,cb36_021,False,,-0.09306823743826212,12211.565094668003,16395.464226047006,0.28563167397805955,False,1.0,0.00031722800728940185,vanilla-bo: no feasibility model
137,vanilla_bo_penalty,extension,24,adaptive,cb36_013,False,,-0.09306823743826212,12793.528372594003,16977.427503973006,0.2956521629821509,False,1.0,0.00024363752126474025,vanilla-bo: no feasibility model
137,flowguard_calibrated,extension,1,shared_init,cb36_022,False,,,1345.1955549820123,1345.1955549820123,0.0,False,,,
137,flowguard_calibrated,extension,2,shared_init,cb36_006,True,-0.09306823743826212,-0.09306823743826212,1345.1955549820123,1949.370451093011,0.0,False,,,
137,flowguard_calibrated,extension,3,shared_init,cb36_025,False,,-0.09306823743826212,1864.2406480120117,2468.4155441230105,0.0,False,,,
137,flowguard_calibrated,extension,4,shared_init,cb36_014,False,,-0.09306823743826212,3202.382290629008,3806.5571867400067,0.0,False,,,
137,flowguard_calibrated,extension,5,shared_init,cb36_033,False,,-0.09306823743826212,3717.5311922480105,4321.706088359009,0.0,False,,,
137,flowguard_calibrated,extension,6,shared_init,cb36_007,False,,-0.09306823743826212,4440.459047621014,5044.633943732013,0.0,False,,,
137,flowguard_calibrated,extension,7,shared_init,cb36_008,False,,-0.09306823743826212,5090.363968717014,5694.538864828013,0.0,False,,,
137,flowguard_calibrated,extension,8,shared_init,cb36_027,False,,-0.09306823743826212,5597.119207861011,6201.29410397201,0.0,False,,,
137,flowguard_calibrated,extension,9,adaptive,cb36_000,False,,-0.09306823743826212,6243.930258204011,6848.10515431501,0.05905503900430631,False,0.3,0.0,"rf-fallback: class_counts=[1, 7]"
137,flowguard_calibrated,extension,10,adaptive,cb36_001,True,0.3112996180098017,-0.09306823743826212,6243.930258204011,7636.4878694790095,0.11856956299743615,False,0.08,0.0,"rf-fallback: class_counts=[1, 8]"
137,flowguard_calibrated,extension,11,adaptive,cb36_002,True,-0.09306823743826212,-0.09306823743826212,6243.930258204011,8244.28855973301,0.2556222099956358,False,0.6,0.019004904084893158,"rf-fallback: class_counts=[2, 8]"
137,flowguard_calibrated,extension,12,adaptive,cb36_018,False,,-0.09306823743826212,7581.229800103014,9581.588101632013,0.5287872149929171,False,0.3112030235916923,0.03607609476671866,calibrated-rf(cv=3)
137,flowguard_calibrated,extension,13,adaptive,cb36_030,False,,-0.09306823743826212,8162.3274857750075,10162.685787304006,0.7570515449915547,False,0.320444391719869,0.03347565226185102,calibrated-rf(cv=3)
137,flowguard_calibrated,extension,14,adaptive,cb36_026,False,,-0.09306823743826212,8747.286354601994,10747.644656130993,0.9971510189934634,False,0.2675984532334898,0.03347564888375745,calibrated-rf(cv=3)
137,flowguard_calibrated,extension,15,adaptive,cb36_010,True,-0.09306823743826212,-0.09306823743826212,8747.286354601994,11359.519391492999,1.2409892859868705,False,0.34188158754450243,0.02268054384650325,calibrated-rf(cv=3)
