seed,method,call,best_feasible_qor,cum_failed_eda_runtime_s,cum_total_eda_runtime_s,cum_optimizer_overhead_s
47,flowguard_calibrated,6,,5434.692,5434.692,0.0000
47,flowguard_calibrated,7,,6106.721,6106.721,0.0000
47,flowguard_calibrated,8,-0.093068237,6106.721,6714.522,0.0000
47,flowguard_calibrated,9,-0.093068237,6753.532,7361.333,0.0695
47,flowguard_calibrated,10,-0.093068237,6753.532,8149.715,0.1299
47,flowguard_calibrated,11,-0.093068237,6753.532,8938.345,0.2016
47,flowguard_calibrated,12,-0.093068237,6753.532,9542.520,0.4277
47,flowguard_calibrated,13,-0.093068237,7338.491,10127.479,0.6274
47,flowguard_calibrated,14,-0.093068237,7919.589,10708.577,0.8266
47,flowguard_calibrated,15,-0.093068237,8497.600,11286.588,1.0267
47,flowguard_calibrated,16,-0.093068237,9834.900,12623.888,1.2363
47,flowguard_calibrated,17,-0.093068237,9834.900,13235.763,1.4435
47,flowguard_calibrated,18,-0.093068237,10335.885,13736.748,1.6567
47,flowguard_calibrated,19,-0.093068237,11091.853,14492.716,1.8587
47,flowguard_calibrated,20,-0.093068237,11592.455,14993.318,2.0624
47,flowguard_calibrated,21,-0.093068237,12099.210,15500.073,2.2666
47,flowguard_calibrated,22,-0.093068237,12858.505,16259.368,2.4877
47,flowguard_calibrated,23,-0.093068237,13398.268,16799.131,2.6925
47,flowguard_calibrated,24,-0.093068237,14155.128,17555.991,2.8947
47,ei_only_ablation,1,,1338.142,1338.142,0.0000
47,ei_only_ablation,2,,1870.791,1870.791,0.0000
47,ei_only_ablation,3,,2572.950,2572.950,0.0000
47,ei_only_ablation,4,,3332.606,3332.606,0.0000
47,ei_only_ablation,5,,4677.802,4677.802,0.0000
47,ei_only_ablation,6,,5434.692,5434.692,0.0000
47,ei_only_ablation,7,,6106.721,6106.721,0.0000
47,ei_only_ablation,8,-0.093068237,6106.721,6714.522,0.0000
47,ei_only_ablation,9,-0.093068237,6753.532,7361.333,0.0019
47,ei_only_ablation,10,-0.093068237,6753.532,8149.715,0.0037
47,ei_only_ablation,11,-0.093068237,6753.532,8753.890,0.0180
47,ei_only_ablation,12,-0.093068237,8090.831,10091.190,0.0249
47,ei_only_ablation,13,-0.093068237,8671.929,10672.287,0.0352
47,ei_only_ablation,14,-0.093068237,9256.888,11257.246,0.0432
47,ei_only_ablation,15,-0.093068237,9834.900,11835.258,0.0523
47,ei_only_ablation,16,-0.093068237,10590.867,12591.226,0.0619
47,ei_only_ablation,17,-0.093068237,11091.853,13092.211,0.0690
47,ei_only_ablation,18,-0.093068237,11848.712,13849.071,0.0779
47,ei_only_ablation,19,-0.093068237,12388.475,14388.834,0.0849
47,ei_only_ablation,20,-0.093068237,13147.770,15148.129,0.0944
47,ei_only_ablation,21,-0.093068237,13648.372,15648.731,0.1013
47,ei_only_ablation,22,-0.093068237,14346.045,16346.403,0.1113
47,ei_only_ablation,23,-0.093068237,14995.950,16996.308,0.1182
47,ei_only_ablation,24,-0.093068237,15502.705,17503.063,0.1277
101,vanilla_bo_penalty,1,,759.295,759.295,0.0000
101,vanilla_bo_penalty,2,,1409.200,1409.200,0.0000
101,vanilla_bo_penalty,3,,1994.159,1994.159,0.0000
101,vanilla_bo_penalty,4,,2691.831,2691.831,0.0000
101,vanilla_bo_penalty,5,,3192.816,3192.816,0.0000
101,vanilla_bo_penalty,6,,3774.780,3774.780,0.0000
101,vanilla_bo_penalty,7,,4354.476,4354.476,0.0000
101,vanilla_bo_penalty,8,,5026.505,5026.505,0.0000
101,vanilla_bo_penalty,9,,5673.316,5673.316,0.0041
101,vanilla_bo_penalty,10,0.311299618,5673.316,6461.699,0.0058
101,vanilla_bo_penalty,11,0.311299618,5673.316,7244.735,0.0143
101,vanilla_bo_penalty,12,0.311299618,6375.476,7946.895,0.0227
101,vanilla_bo_penalty,13,0.311299618,6375.476,8735.525,0.0298
101,vanilla_bo_penalty,14,0.311299618,7720.671,10080.720,0.0367
101,vanilla_bo_penalty,15,0.311299618,8227.427,10587.475,0.0437
101,vanilla_bo_penalty,16,-0.093068237,8227.427,11195.276,0.0507
101,vanilla_bo_penalty,17,-0.093068237,8227.427,11799.451,0.0585
101,vanilla_bo_penalty,18,-0.093068237,9565.568,13137.593,0.0647
101,vanilla_bo_penalty,19,-0.093068237,9565.568,13749.467,0.0733
101,vanilla_bo_penalty,20,-0.093068237,10083.251,14267.150,0.0805
101,vanilla_bo_penalty,21,-0.093068237,10618.304,14802.204,0.0902
101,vanilla_bo_penalty,22,-0.093068237,11374.272,15558.171,0.0979
101,vanilla_bo_penalty,23,-0.093068237,12133.928,16317.827,0.1071
101,vanilla_bo_penalty,24,-0.093068237,12715.025,16898.925,0.1145
101,flowguard_calibrated,1,,759.295,759.295,0.0000
101,flowguard_calibrated,2,,1409.200,1409.200,0.0000
101,flowguard_calibrated,3,,1994.159,1994.159,0.0000
101,flowguard_calibrated,4,,2691.831,2691.831,0.0000
